t,wind
1587,5.634
1588,5.706
1589,6.246
1590,4.14
1591,2.052
1592,2.304
1593,3.222
1594,4.932
1595,6.498
1596,11.142
1597,11.664
1598,14.04
1599,11.376
1600,2.214
1601,5.85
1602,6.12
1603,7.812
1604,4.122
1605,6.57
1606,6.714
1607,1.278
1608,2.394
1609,3.24
1610,2.358
1611,4.914
1612,3.312
1613,1.836
1614,6.948
1615,6.444
1616,7.614
1617,10.782
1618,11.52
1619,10.242
1620,9.108
1621,8.37
1622,5.454
1623,9.684
1624,8.802
1625,5.958
1626,4.338
1627,1.368
1628,1.242
1629,1.08
1630,0.486
1631,0.09
1632,0.342
1633,0.63
1634,0.882
1635,0.864
1636,0.864
1637,2.664
1638,4.806
1639,5.094
1640,4.806
1641,3.024
1642,6.03
1643,10.296
1644,10.926
1645,12.654
1646,13.23
1647,12.366
1648,11.412
1649,10.386
1650,6.156
1651,3.42
1652,1.764
1653,3.672
1654,4.356
1655,3.6
1656,2.952
1657,1.692
1658,3.15
1659,4.284
1660,14.976
1661,11.646
1662,4.266
1663,2.7
1664,5.508
1665,11.034
1666,12.564
1667,12.006
1668,13.284
1669,10.638
1670,11.358
1671,8.19
1672,7.416
1673,8.784
1674,9.612
1675,4.95
1676,4.23
1677,5.742
1678,3.456
1679,0.414
1680,0.54
1681,4.14
1682,4.95
1683,4.626
1684,1.296
1685,2.178
1686,3.96
1687,6.642
1688,9.144
1689,8.046
1690,6.318
1691,5.832
1692,6.642
1693,7.11
1694,8.262
1695,7.488
1696,6.606
1697,6.12
1698,4.896
1699,4.158
1700,1.296
1701,0.432
1702,0
1703,2.808
1704,1.89
1705,1.962
1706,3.672
1707,4.086
1708,5.022
1709,3.546
1710,2.574
1711,3.42
1712,3.816
1713,3.402
1714,2.448
1715,5.328
1716,6.156
1717,7.29
1718,6.804
1719,7.344
1720,6.696
1721,5.832
1722,4.41
1723,1.512
1724,1.188
1725,0.126
1726,0.18
1727,1.35
1728,0.558
1729,1.098
1730,3.636
1731,3.276
1732,3.618
1733,6.084
1734,6.84
1735,6.804
1736,6.174
1737,5.562
1738,3.492
1739,5.256
1740,6.12
1741,6.894
1742,7.47
1743,6.75
1744,6.39
1745,5.958
1746,4.14
1747,1.8
1748,0.072
1749,0
1750,0.99
1751,2.574
1752,2.34
1753,2.484
1754,6.3
1755,7.128
1756,7.326
1757,7.11
1758,8.28
1759,7.632
1760,7.704
1761,3.456
1762,3.168
1763,4.266
1764,5.958
1765,6.732
1766,6.84
1767,6.768
1768,5.67
1769,4.806
1770,3.384
1771,0.396
1772,0.144
1773,0.036
1774,0.072
1775,0.9
1776,1.728
1777,2.16
1778,4.194
1779,4.23
1780,4.05
1781,6.372
1782,6.552
1783,4.734
1784,3.654
1785,3.096
1786,3.294
1787,4.374
1788,4.392
1789,7.506
1790,10.476
1791,9.72
1792,10.854
1793,9.882
1794,9.216
1795,6.66
1796,4.59
1797,0.846
1798,0.576
1799,0.486
1800,0.396
1801,0.63
1802,0.252
1803,2.232
1804,2.124
1805,3.222
1806,4.068
1807,3.114
1808,0.09
1809,3.096
1810,5.49
1811,5.292
1812,4.698
1813,5.886
1814,7.164
1815,8.262
1816,10.404
1817,10.98
1818,9.63
1819,6.012
1820,1.764
1821,0.918
1822,1.17
1823,1.206
1824,8.298
1825,7.164
1826,5.508
1827,4.32
1828,4.248
1829,2.952
1830,1.746
1831,1.962
1832,3.834
1833,2.61
1834,4.356
1835,5.688
1836,7.47
1837,7.722
1838,8.244
1839,7.254
1840,6.588
1841,6.408
1842,5.202
1843,3.168
1844,1.314
1845,0.252
1846,0.954
1847,1.152
1848,2.61
1849,1.962
1850,0.756
1851,1.602
1852,2.898
1853,2.052
1854,2.754
1855,2.79
1856,3.024
1857,2.988
1858,4.068
1859,4.464
1860,6.084
1861,6.48
1862,6.372
1863,6.714
1864,5.868
1865,4.5
1866,3.492
1867,2.196
1868,1.278
1869,0.792
1870,1.602
1871,1.242
1872,1.53
1873,1.98
1874,2.448
1875,1.872
1876,1.584
1877,2.412
1878,1.134
1879,0.72
1880,3.834
1881,6.39
1882,8.478
1883,9.612
1884,10.584
1885,12.528
1886,12.906
1887,12.816
1888,12.096
1889,9.864
1890,8.352
1891,7.722
1892,6.534
1893,7.254
1894,5.508
1895,3.402
1896,1.368
1897,1.512
1898,0.918
1899,1.71
1900,0.774
1901,3.456
1902,3.006
1903,2.988
1904,3.762
1905,5.922
1906,2.484
1907,5.922
1908,6.93
1909,6.48
1910,6.696
1911,6.894
1912,8.082
1913,7.326
1914,6.336
1915,5.616
1916,4.662
1917,5.184
1918,4.284
1919,0.972
1920,3.204
1921,2.862
1922,0.828
1923,1.314
1924,2.43
1925,4.554
1926,3.528
1927,6.426
1928,5.292
1929,1.44
1930,2.214
1931,4.248
1932,3.744
1933,6.678
1934,6.102
1935,5.868
1936,4.158
1937,3.456
1938,2.25
1939,1.314
1940,0.054
1941,0.432
1942,0.198
1943,0.378
1944,0.18
1945,0.882
1946,0.684
1947,0.9
1948,1.116
1949,0.252
1950,0.054
1951,0.702
1952,1.008
1953,1.422
1954,3.24
1955,4.428
1956,5.058
1957,4.986
1958,6.696
1959,8.388
1960,7.938
1961,7.47
