t,D
1405,334433
1406,331928
1407,316786
1408,306665
1409,303819
1410,311469
1411,344967
1412,367196
1413,369337
1414,360389
1415,335587
1416,304719
1417,292419
1418,280113
1419,273693
1420,271356
1421,278350
1422,308351
1423,358664
1424,389595
1425,405813
1426,410481
1427,404987
1428,399808
1429,395830
1430,380631
1431,372507
1432,367210
1433,365659
1434,368854
1435,400805
1436,420491
1437,413166
1438,383796
1439,345848
1440,318455
1441,295349
1442,281698
1443,275607
1444,274639
1445,280914
1446,310022
1447,358413
1448,390063
1449,403622
1450,405782
1451,403716
1452,398413
1453,393334
1454,379267
1455,369809
1456,366428
1457,365372
1458,367524
1459,398041
1460,416415
1461,408115
1462,379752
1463,345467
1464,317087
1465,294330
1466,280592
1467,275096
1468,273217
1469,279682
1470,306454
1471,351630
1472,380900
1473,392817
1474,399093
1475,396795
1476,392729
1477,389131
1478,376057
1479,367545
1480,363109
1481,361742
1482,364159
1483,392895
1484,411108
1485,403979
1486,376474
1487,343525
1488,316999
1489,296666
1490,282693
1491,277520
1492,276240
1493,281161
1494,309373
1495,355910
1496,384714
1497,395103
1498,400186
1499,401192
1500,396767
1501,393401
1502,379405
1503,370125
1504,365023
1505,365613
1506,367265
1507,393727
1508,405679
1509,396945
1510,374861
1511,345670
1512,321633
1513,298496
1514,279130
1515,269193
1516,266243
1517,265043
1518,268832
1519,280995
1520,298353
1521,330315
1522,352543
1523,356228
1524,352115
1525,350891
1526,343081
1527,326846
1528,317001
1529,312495
1530,317836
1531,347261
1532,365046
1533,366899
1534,352418
1535,329312
1536,302765
1537,277917
1538,260451
1539,250186
1540,247425
1541,247563
1542,252015
1543,255474
1544,261423
1545,288174
1546,309739
1547,318536
1548,318233
1549,319310
1550,319519
1551,303845
1552,294154
1553,290600
1554,297910
1555,330947
1556,359229
1557,364835
1558,354779
1559,328253
1560,301038
1561,278334
1562,264938
1563,259671
1564,258270
1565,268529
1566,302703
1567,349614
1568,387903
1569,408513
1570,420808
1571,422807
1572,422722
1573,420242
1574,404032
1575,395218
1576,390663
1577,388932
1578,388232
1579,413253
1580,430998
1581,421461
1582,390093
1583,352493
1584,322010
1585,298058
1586,286815
1587,280621
1588,279895
1589,284732
1590,314392
1591,362514
1592,395005
1593,409218
1594,414577
1595,412107
1596,407909
1597,406474
1598,391297
1599,382512
1600,379462
1601,377810
1602,378795
1603,407645
1604,429162
1605,421001
1606,390268
1607,354191
1608,322844
1609,298243
1610,284111
1611,277484
1612,276774
1613,282545
1614,312853
1615,358660
1616,395613
1617,413571
1618,423930
1619,425727
1620,420129
1621,417964
1622,405052
1623,396473
1624,392182
1625,392044
1626,391855
1627,418307
1628,436412
1629,424652
1630,393445
1631,355201
1632,325056
1633,300432
1634,286125
1635,280801
1636,278814
1637,283967
1638,311556
1639,358800
1640,391855
1641,405832
1642,416338
1643,416103
1644,413274
1645,408260
1646,392865
1647,386463
1648,384804
1649,382364
1650,382857
1651,410612
1652,430864
1653,423730
1654,394854
1655,356205
1656,325489
1657,302201
1658,286060
1659,279076
1660,277238
1661,284268
1662,311912
1663,357792
1664,391993
1665,406784
1666,411330
1667,409868
1668,405654
1669,400136
1670,384719
1671,373749
1672,368582
1673,365247
1674,363990
1675,387907
1676,410171
1677,404218
1678,380309
1679,350827
1680,325786
1681,302262
1682,282578
1683,273131
1684,268391
1685,268275
1686,275180
1687,283741
1688,304756
1689,337220
1690,355164
1691,358060
1692,350281
1693,347845
1694,338838
1695,322854
1696,314193
1697,308449
1698,312458
1699,338374
1700,366008
1701,368304
1702,353689
1703,330271
1704,304173
1705,278779
1706,262870
1707,251524
1708,248069
1709,248264
1710,252988
1711,253895
1712,263757
1713,288944
1714,307483
1715,312951
1716,310350
1717,310492
1718,308687
1719,296992
1720,288956
1721,285209
1722,290817
1723,322087
1724,358344
1725,365182
1726,354319
1727,326395
1728,296195
1729,275525
1730,264505
1731,260099
1732,260432
1733,269141
1734,303604
1735,349934
1736,387895
1737,403367
1738,410320
1739,408996
1740,404074
1741,401491
1742,386839
1743,377893
1744,373308
1745,371800
1746,371093
1747,396495
1748,419892
1749,414142
1750,383874
1751,348328
1752,318909
1753,297831
1754,282346
1755,276746
1756,274168
1757,281418
1758,311506
1759,354996
1760,390937
1761,406524
1762,413444
1763,412553
1764,406840
1765,404017
1766,387889
1767,380055
1768,375200
1769,373140
1770,372860
1771,396673
1772,422418
1773,413268
1774,386210
1775,351291
1776,320834
1777,296584
1778,283440
1779,276650
1780,273871
1781,282685
1782,310160
1783,348888
1784,385635
1785,400427
1786,404111
1787,400491
1788,396644
1789,393158
1790,378034
1791,372808
1792,366117
1793,365167
1794,367373
1795,394273
1796,419480
1797,410619
1798,383177
1799,349787
1800,322108
1801,299081
1802,287359
1803,279948
1804,277863
1805,283913
1806,309401
1807,351605
1808,386590
1809,401880
1810,406029
1811,401811
1812,392851
1813,389386
1814,378063
1815,369038
1816,366618
1817,366564
1818,368977
1819,392468
1820,416741
1821,410625
1822,382713
1823,349060
1824,321909
1825,296693
1826,283097
1827,277100
1828,275295
1829,280289
1830,305871
1831,346168
1832,377866
1833,396611
1834,405924
1835,403570
1836,397453
1837,394045
1838,380294
1839,370250
1840,365347
1841,364672
1842,365180
1843,382167
1844,401686
1845,395109
1846,369301
1847,340614
1848,317081
1849,293122
1850,277606
1851,267740
1852,262732
1853,261686
1854,266072
1855,271745
1856,291018
1857,323678
1858,345089
1859,352332
1860,350814
1861,349484
1862,338523
1863,320970
1864,312075
1865,307966
1866,311611
1867,334661
1868,359049
1869,357597
1870,343516
1871,321205
1872,298956
1873,274856
1874,256306
1875,248304
1876,241775
1877,243109
1878,247191
1879,244841
1880,255549
1881,282978
1882,302262
1883,310710
1884,308549
1885,311682
1886,310929
1887,297647
1888,291093
1889,286445
1890,292319
1891,315373
1892,347767
1893,352575
1894,345018
1895,321361
1896,293310
1897,272878
1898,259945
1899,252609
1900,250322
1901,258025
1902,285636
1903,317905
1904,353256
1905,378818
1906,392717
1907,393037
1908,392863
1909,392016
1910,380148
1911,366625
1912,365309
1913,364189
1914,363143
1915,381708
1916,403846
1917,398693
1918,368873
1919,333061
1920,307458
1921,286334
1922,272708
1923,265519
1924,263491
1925,267717
1926,289964
1927,319885
1928,353227
1929,380859
1930,392019
1931,393731
1932,388321
1933,385381
1934,375332
1935,363385
1936,358001
1937,355456
1938,355176
1939,371302
1940,395692
1941,392510
1942,366558
1943,335670
1944,309633
1945,284849
1946,271157
1947,266122
1948,263215
1949,270038
1950,292057
1951,318946
1952,351753
1953,375403
1954,383435
1955,380675
1956,376735
1957,372248
1958,361188
1959,350183
1960,346055
1961,343257
1962,340754
1963,357010
1964,381726
1965,378859
1966,357361
1967,330389
1968,306674
1969,281667
1970,265706
1971,255869
1972,252344
1973,252396
1974,260505
1975,266103
1976,282122
1977,302638
1978,314779
1979,317497
1980,314289
1981,312589
1982,305630
1983,291691
1984,283017
1985,279695
1986,282022
1987,302853
1988,334627
1989,334619
1990,323885
1991,303119
1992,281742
1993,261768
1994,245930
1995,238160
1996,234703
1997,236326
1998,240665
1999,239479
2000,247785
2001,268568
2002,284579
2003,287373
2004,286072
2005,287545
2006,283348
2007,274774
2008,267523
2009,264980
2010,267613
2011,284753
2012,314057
2013,316245
2014,310990
2015,293276
2016,274434
2017,254458
2018,242342
2019,234339
2020,230956
2021,231688
2022,238946
2023,241184
2024,256626
2025,285272
2026,303562
2027,306994
2028,302078
2029,304815
2030,303577
2031,290796
2032,285021
2033,281838
2034,283436
2035,302508
2036,332229
2037,337636
2038,322984
2039,302337
2040,277940
2041,257626
2042,0
2043,241945
2044,235523
2045,231627
2046,233438
2047,238449
2048,237821
2049,252120
2050,270559
2051,281742
2052,285267
2053,284515
2054,281870
2055,272594
2056,264436
2057,258491
2058,256112
2059,263322
2060,292697
2061,326382
2062,319653
2063,301617
2064,278618
2065,256842
2066,241679
2067,235153
2068,230894
2069,234045
2070,252204
2071,276740
2072,290717
2073,311314
2074,328849
2075,334757
2076,335539
2077,335104
2078,326807
2079,312470
2080,303966
2081,300758
2082,301329
2083,304259
2084,324575
2085,357470
2086,338703
2087,311000
2088,289148
2089,269279
2090,254579
2091,247796
2092,246453
2093,253563
2094,281832
2095,325677
2096,350868
2097,369431
2098,378393
2099,377977
2100,374738
2101,369692
2102,357876
2103,346448
2104,342017
2105,338730
2106,333897
2107,332446
2108,350392
2109,379558
2110,353384
2111,325604
2112,301473
2113,281577
2114,267414
2115,260442
2116,259204
2117,263512
2118,286591
2119,329351
2120,351013
2121,366392
2122,372365
2123,372314
2124,371237
2125,367356
2126,353162
2127,342780
2128,339296
2129,336340
2130,331670
2131,332086
2132,349681
2133,376432
2134,352330
2135,322664
2136,300555
2137,280404
2138,267493
2139,262042
2140,260020
2141,265455
2142,288841
2143,332254
2144,356884
2145,370800
2146,379618
2147,382876
2148,381398
2149,378264
2150,362593
2151,353196
2152,349794
2153,347301
2154,342144
2155,341549
2156,358637
2157,384399
2158,358844
2159,329903
2160,308901
2161,287610
2162,274174
2163,267230
2164,264704
2165,267464
2166,292572
2167,336973
2168,364082
2169,379744
2170,387665
2171,387378
2172,385434
2173,379832
2174,364002
2175,349982
2176,344217
2177,341247
2178,335727
2179,334418
2180,348068
2181,372818
2182,353131
2183,330409
2184,310845
2185,289960
2186,271881
2187,263464
2188,257285
2189,254897
2190,262490
2191,277447
2192,287633
2193,316709
2194,337628
2195,342995
2196,340831
2197,334974
2198,328467
2199,313618
2200,301843
2201,297686
2202,295754
2203,299022
2204,314975
2205,339280
2206,325654
2207,313512
2208,293197
2209,271835
2210,255808
2211,247016
2212,241432
2213,239803
2214,243256
2215,251537
2216,250704
2217,272813
2218,295970
2219,306398
2220,310873
2221,312219
2222,309423
2223,293870
2224,285964
2225,278825
2226,279513
2227,287505
2228,314277
2229,347953
2230,333414
2231,311858
2232,286075
2233,264817
2234,255708
2235,249149
2236,249391
2237,257810
2238,287543
2239,332938
2240,358296
2241,377693
2242,389771
2243,393166
2244,395762
2245,393543
2246,378364
2247,369424
2248,365125
2249,364730
2250,364076
2251,364554
2252,378297
2253,394419
2254,363356
2255,331629
2256,308541
2257,287198
2258,273020
2259,266935
2260,263246
2261,269810
2262,295543
2263,344269
2264,371940
2265,386155
2266,394340
2267,395862
2268,396562
2269,393350
2270,376572
2271,368398
2272,364199
2273,362842
2274,359003
2275,359705
2276,377118
2277,396136
2278,365146
2279,334295
2280,310484
2281,287515
2282,273254
2283,267297
2284,264742
2285,270546
2286,297113
2287,343305
2288,368653
2289,383713
2290,387431
2291,384710
2292,382492
2293,378019
2294,362942
2295,354107
2296,350710
2297,345747
2298,341329
2299,341185
2300,358896
2301,387937
2302,358417
2303,329529
2304,305777
2305,283505
2306,270492
2307,265089
2308,263556
2309,268326
2310,294642
2311,335315
2312,361610
2313,373671
2314,378933
2315,378899
2316,376975
2317,373881
2318,359871
2319,352077
2320,348834
2321,346092
2322,340164
2323,340212
2324,356243
2325,383891
2326,358394
2327,328875
2328,306191
2329,285872
2330,273238
2331,266511
2332,263556
2333,269595
2334,294970
2335,336350
2336,365000
2337,380173
2338,387031
2339,388303
2340,388646
2341,381806
2342,366491
2343,354781
2344,350473
2345,345611
2346,340148
2347,340114
2348,352129
2349,377214
2350,354229
2351,329312
2352,307552
2353,287741
2354,271556
2355,262602
2356,258263
2357,256290
2358,261714
2359,272646
2360,285989
2361,316353
2362,334521
2363,339859
2364,335892
2365,331997
2366,322865
2367,306477
2368,295440
2369,291871
2370,290926
2371,295484
2372,309400
2373,339451
2374,328653
2375,309674
2376,288011
2377,267623
2378,251434
2379,240732
2380,235561
2381,234193
2382,235987
2383,241817
2384,247519
2385,269867
2386,291189
2387,301260
2388,304526
2389,304700
2390,303658
2391,287959
2392,279396
2393,273637
2394,276270
2395,285100
2396,309396
2397,342301
2398,333027
2399,307751
2400,282802
2401,262749
2402,250273
2403,244797
2404,244772
2405,251869
2406,284260
2407,332613
2408,361861
2409,375169
2410,384397
2411,384679
2412,383769
2413,381479
2414,368410
2415,360374
2416,356611
2417,357574
2418,353614
2419,352895
2420,367413
2421,392792
2422,361516
2423,329839
2424,305821
2425,288130
2426,275134
2427,268091
2428,266437
2429,270668
2430,296956
2431,341348
2432,366188
2433,379989
2434,387378
2435,387362
2436,387303
2437,385814
2438,373948
2439,364966
2440,359580
2441,355417
2442,352730
2443,353762
2444,369217
2445,389651
2446,359059
2447,331484
2448,306584
2449,285445
2450,271960
2451,267746
2452,266278
2453,270321
2454,295073
2455,336758
2456,361075
2457,376275
2458,381513
2459,381394
2460,381958
2461,379635
2462,365035
2463,356140
2464,351544
2465,350935
2466,344129
2467,344539
2468,356228
2469,377588
2470,350833
2471,325840
2472,303516
2473,282417
2474,271571
2475,266902
2476,263801
2477,269131
2478,294991
2479,333425
2480,358472
2481,371930
2482,377249
2483,377810
2484,378142
2485,377000
2486,363601
2487,355433
2488,350954
2489,348568
2490,343552
2491,343194
2492,353936
2493,379094
2494,355808
2495,325498
2496,303251
2497,284510
