t,water
785,2157000
786,2157000
787,2157000
788,2156000
789,2156000
790,2156000
791,2156000
792,2157000
793,2156000
794,2156000
795,2157000
796,2157000
797,2156000
798,2156000
799,2157000
800,2158000
801,2157000
802,2157000
803,2157000
804,2159000
805,2159000
806,2158000
807,2158000
808,2159000
809,2159000
810,2159000
811,2159000
812,2159000
813,2159000
814,2157000
815,2158000
816,2159000
817,2159000
818,2158000
819,2158000
820,2159000
821,2159000
822,2159000
823,2159000
824,2159000
825,2160000
826,2159000
827,2160000
828,2161000
829,2161000
830,2161000
831,2161000
832,2161000
833,2161000
834,2160000
835,2161000
836,2162000
837,2162000
838,2162000
839,2162000
840,2162000
841,2162000
842,2162000
843,2162000
844,2162000
845,2163000
846,2163000
847,2163000
848,2163000
849,2164000
850,2164000
851,2163000
852,2165000
853,2165000
854,2166000
855,2165000
856,2165000
857,2165000
858,2166000
859,2165000
860,2165000
861,2165000
862,2166000
863,2165000
864,2166000
865,2166000
866,2167000
867,2166000
868,2167000
869,2167000
870,2168000
871,2168000
872,2167000
873,2168000
874,2169000
875,2169000
876,2170000
877,2170000
878,2171000
879,2171000
880,2172000
881,2171000
882,2172000
883,2172000
884,2171000
885,2172000
886,2172000
887,2173000
888,2172000
889,2173000
890,2174000
891,2175000
892,2175000
893,2174000
894,2175000
895,2176000
896,2176000
897,2176000
898,2177000
899,2178000
900,2178000
901,2177000
902,2178000
903,2178000
904,2179000
905,2177000
906,2178000
907,2178000
908,2179000
909,2178000
910,2179000
911,2180000
912,2180000
913,2179000
914,2180000
915,2180000
916,2180000
917,2180000
918,2181000
919,2182000
920,2183000
921,2182000
922,2182000
923,2183000
924,2183000
925,2183000
926,2183000
927,2183000
928,2183000
929,2183000
930,2183000
931,2183000
932,2183000
933,2184000
934,2183000
935,2184000
936,2185000
937,2185000
938,2184000
939,2185000
940,2186000
941,2186000
942,2186000
943,2186000
944,2187000
945,2187000
946,2187000
947,2187000
948,2187000
949,2187000
950,2188000
951,2189000
952,2188000
953,2188000
954,2189000
955,2187000
